epochs,loss
0,0.0070198290050029755
1,0.004136441275477409
2,0.004338593687862158
3,0.004088677000254393
4,0.003883041674271226
5,0.003595467656850815
6,0.0035522719845175743
7,0.0035429743584245443
8,0.003641721559688449
9,0.003593906993046403
10,0.0036013596691191196
11,0.003624920267611742
12,0.0035939239896833897
13,0.003640723181888461
14,0.0035501220263540745
